ICAO;YEAR;TRAFFIC
LFLB;2016;3256
LFLB;2017;3440
LFLB;2018;3452
LFLB;2019;3626
LFLB;2020;2653
LFLB;2021;1965
LFLB;2022;3767
LFLB;2023;1350
LFLC;2016;6562
LFLC;2017;6370
LFLC;2018;6027
LFLC;2019;5760
LFLC;2020;3045
LFLC;2021;3180
LFLC;2022;3883
LFLC;2023;550
LFLL;2016;55346
LFLL;2017;56185
LFLL;2018;56748
LFLL;2019;58266
LFLL;2020;22601
LFLL;2021;27388
LFLL;2022;40298
LFLL;2023;6399
LFLP;2016;1645
LFLP;2017;1538
LFLP;2018;1486
LFLP;2019;1677
LFLP;2020;1429
LFLP;2021;1885
LFLP;2022;2009
LFLP;2023;349
LFLS;2016;3170
LFLS;2017;3498
LFLS;2018;3654
LFLS;2019;3525
LFLS;2020;2656
LFLS;2021;2503
LFLS;2022;3380
LFLS;2023;931
LFLY;2016;4730
LFLY;2017;4586
LFLY;2018;4997
LFLY;2019;5045
LFLY;2020;3786
LFLY;2021;4940
LFLY;2022;4980
LFLY;2023;697
LFMD;2016;6862
LFMD;2017;6954
LFMD;2018;6903
LFMD;2019;7008
LFMD;2020;5567
LFMD;2021;7743
LFMD;2022;8596
LFMD;2023;663
LFMH;2016;1610
LFMH;2017;1202
LFMH;2018;893
LFMH;2019;837
LFMH;2020;648
LFMH;2021;973
LFMH;2022;810
LFMH;2023;54
LFMK;2016;2531
LFMK;2017;2718
LFMK;2018;2759
LFMK;2019;2865
LFMK;2020;1846
LFMK;2021;2005
LFMK;2022;2513
LFMK;2023;210
LFML;2016;48251
LFML;2017;48777
LFML;2018;48909
LFML;2019;51037
LFML;2020;23663
LFML;2021;29753
LFML;2022;45660
LFML;2023;6781
LFMN;2016;69787
LFMN;2017;71337
LFMN;2018;71822
LFMN;2019;72848
LFMN;2020;33152
LFMN;2021;47124
LFMN;2022;67566
LFMN;2023;7618
LFMP;2016;4242
LFMP;2017;4438
LFMP;2018;5113
LFMP;2019;5593
LFMP;2020;4452
LFMP;2021;5065
LFMP;2022;5990
LFMP;2023;713
LFMT;2016;14124
LFMT;2017;15297
LFMT;2018;14711
LFMT;2019;14632
LFMT;2020;8811
LFMT;2021;10873
LFMT;2022;12928
LFMT;2023;1552
LFMU;2016;2786
LFMU;2017;2892
LFMU;2018;3238
LFMU;2019;3268
LFMU;2020;1894
LFMU;2021;2460
LFMU;2022;2835
LFMU;2023;313
LFOB;2016;12861
LFOB;2017;11539
LFOB;2018;11883
LFOB;2019;12299
LFOB;2020;5252
LFOB;2021;8173
LFOB;2022;15116
LFOB;2023;2392
